H,K,L,2THETA,D-VALUE,MULT,INTENSITY
0,0,3,3.63,4.7359,2,1000
1,-1,-1,7.07,2.4316,2,251
0,1,-1,7.07,2.4316,2,251
1,0,1,7.07,2.4316,2,251
0,0,6,7.26,2.368,2,89.1
1,-1,2,7.38,2.3313,2,78.5
1,0,-2,7.38,2.3313,2,78.5
0,1,2,7.38,2.3313,2,78.5
1,-1,-4,8.49,2.0268,2,403.6
0,1,-4,8.49,2.0268,2,403.6
1,0,4,8.49,2.0268,2,403.6
1,0,-5,9.23,1.8633,2,141.2
1,-1,5,9.23,1.8633,2,141.2
0,1,5,9.23,1.8633,2,141.2
0,0,9,10.9,1.5786,2,95.7
0,1,-7,10.98,1.5676,2,40.6
1,-1,-7,10.98,1.5676,2,40.6
1,0,7,10.98,1.5676,2,40.6
1,0,-8,11.95,1.4415,2,115.6
1,-1,8,11.95,1.4415,2,115.6
0,1,8,11.95,1.4415,2,115.6
2,-1,0,12.09,1.4249,2,117
1,-2,0,12.09,1.4249,2,117
1,1,0,12.09,1.4249,2,117
2,-1,-3,12.62,1.3645,2,32
1,-2,-3,12.62,1.3645,2,32
1,-2,3,12.62,1.3645,2,32
2,-1,3,12.62,1.3645,2,32
1,1,3,12.62,1.3645,2,32
1,1,-3,12.62,1.3645,2,32
1,0,10,13.99,1.2313,2,16.7
2,-2,1,14.02,1.2294,2,26.6
0,2,1,14.02,1.2294,2,26.6
2,0,-1,14.02,1.2294,2,26.6
1,-2,6,14.11,1.2209,2,14.6
2,-1,-6,14.11,1.2209,2,14.6
1,1,6,14.11,1.2209,2,14.6
1,-2,-6,14.11,1.2209,2,14.6
1,1,-6,14.11,1.2209,2,14.6
2,-1,6,14.11,1.2209,2,14.6
2,-2,-2,14.17,1.2158,2,13.6
2,0,2,14.17,1.2158,2,13.6
0,2,-2,14.17,1.2158,2,13.6
0,0,12,14.56,1.184,2,48.7
2,-2,4,14.79,1.1657,2,50.7
2,0,-4,14.79,1.1657,2,50.7
0,2,4,14.79,1.1657,2,50.7
1,-1,11,15.06,1.1444,2,11
0,1,11,15.06,1.1444,2,11
0,2,-5,15.23,1.1319,2,22.7
2,-2,-5,15.23,1.1319,2,22.7
2,0,5,15.23,1.1319,2,22.7
1,-2,9,16.31,1.0577,2,19.7
2,-1,-9,16.31,1.0577,2,19.7
1,1,-9,16.31,1.0577,2,19.7
1,1,9,16.31,1.0577,2,19.7
1,-2,-9,16.31,1.0577,2,19.7
2,-1,9,16.31,1.0577,2,19.7
2,0,-7,16.36,1.0544,2,9.8
2,-2,7,16.36,1.0544,2,9.8
0,2,7,16.36,1.0544,2,9.8
2,-2,-8,17.02,1.0134,2,26.3
0,2,-8,17.02,1.0134,2,26.3
2,0,8,17.02,1.0134,2,26.3
1,0,13,17.27,0.9993,2,17.3
0,0,15,18.22,0.9472,2,4.4
1,-1,14,18.39,0.9386,2,6.5
0,1,14,18.39,0.9386,2,6.5
2,-2,10,18.53,0.9317,2,5.5
0,2,10,18.53,0.9317,2,5.5
1,2,-1,18.55,0.9308,2,8.4
3,-1,1,18.55,0.9308,2,8.4
2,1,1,18.55,0.9308,2,8.4
3,-2,-1,18.55,0.9308,2,8.4
2,-3,-1,18.55,0.9308,2,8.4
1,-3,1,18.55,0.9308,2,8.4
2,-3,2,18.67,0.9249,2,4.7
3,-2,2,18.67,0.9249,2,4.7
1,2,2,18.67,0.9249,2,4.7
3,-1,-2,18.67,0.9249,2,4.7
2,1,-2,18.67,0.9249,2,4.7
1,-3,-2,18.67,0.9249,2,4.7
1,-2,12,18.96,0.9106,2,15.1
1,1,12,18.96,0.9106,2,15.1
2,-1,12,18.96,0.9106,2,15.1
2,-3,-4,19.14,0.9022,2,15.9
3,-1,4,19.14,0.9022,2,15.9
2,1,4,19.14,0.9022,2,15.9
1,-3,4,19.14,0.9022,2,15.9
1,2,-4,19.14,0.9022,2,15.9
3,-2,-4,19.14,0.9022,2,15.9
2,0,11,19.36,0.8922,2,4.1
3,-1,-5,19.49,0.8863,2,7.9
2,-3,5,19.49,0.8863,2,7.9
1,2,5,19.49,0.8863,2,7.9
2,1,-5,19.49,0.8863,2,7.9
3,-2,5,19.49,0.8863,2,7.9
1,-3,-5,19.49,0.8863,2,7.9
1,2,-7,20.39,0.8476,2,3.9
1,-3,7,20.39,0.8476,2,3.9
3,-1,7,20.39,0.8476,2,3.9
2,1,7,20.39,0.8476,2,3.9
3,-2,-7,20.39,0.8476,2,3.9
2,-3,-7,20.39,0.8476,2,3.9
1,0,16,20.68,0.8355,2,9.2
2,1,-8,20.93,0.8258,2,10
1,2,8,20.93,0.8258,2,10
3,-2,8,20.93,0.8258,2,10
3,-1,-8,20.93,0.8258,2,10
