H,K,L,2THETA,D-VALUE,MULT,INTENSITY
0,0,3,6.12,4.684,2,1000
1,-1,-1,11.94,2.4033,2,131.9
0,1,-1,11.94,2.4033,2,131.9
1,0,1,11.94,2.4033,2,131.9
0,0,6,12.26,2.342,2,55.6
1,0,-2,12.46,2.3043,2,47.8
1,-1,2,12.46,2.3043,2,47.8
0,1,2,12.46,2.3043,2,47.8
0,1,-4,14.34,2.0036,2,238.4
1,-1,-4,14.34,2.0036,2,238.4
1,0,4,14.34,2.0036,2,238.4
1,0,-5,15.6,1.8422,2,43.6
1,-1,5,15.6,1.8422,2,43.6
0,1,5,15.6,1.8422,2,43.6
0,0,9,18.43,1.5613,2,18.9
0,1,-7,18.56,1.55,2,49.5
1,-1,-7,18.56,1.55,2,49.5
1,0,7,18.56,1.55,2,49.5
1,0,-8,20.2,1.4254,2,63.3
1,-1,8,20.2,1.4254,2,63.3
0,1,8,20.2,1.4254,2,63.3
2,-1,0,20.45,1.4083,2,64.6
1,-2,0,20.45,1.4083,2,64.6
1,1,0,20.45,1.4083,2,64.6
1,1,3,21.37,1.3487,2,23.3
2,-1,3,21.37,1.3487,2,23.3
2,-1,-3,21.37,1.3487,2,23.3
1,-2,-3,21.37,1.3487,2,23.3
1,-2,3,21.37,1.3487,2,23.3
1,1,-3,21.37,1.3487,2,23.3
1,0,10,23.7,1.2176,2,8.9
2,-2,1,23.75,1.2151,2,12
0,2,1,23.75,1.2151,2,12
2,0,-1,23.75,1.2151,2,12
1,1,-6,23.91,1.2069,2,7.5
1,1,6,23.91,1.2069,2,7.5
2,-1,-6,23.91,1.2069,2,7.5
1,-2,-6,23.91,1.2069,2,7.5
1,-2,6,23.91,1.2069,2,7.5
2,-1,6,23.91,1.2069,2,7.5
2,-2,-2,24.02,1.2017,2,6.8
2,0,2,24.02,1.2017,2,6.8
0,2,-2,24.02,1.2017,2,6.8
0,0,12,24.65,1.171,2,24.6
2,0,-4,25.06,1.1522,2,26.1
2,-2,4,25.06,1.1522,2,26.1
0,2,4,25.06,1.1522,2,26.1
1,-1,11,25.53,1.1317,2,15.1
0,1,11,25.53,1.1317,2,15.1
0,2,-5,25.82,1.1188,2,6.6
2,-2,-5,25.82,1.1188,2,6.6
2,0,5,25.82,1.1188,2,6.6
1,1,-9,27.66,1.0457,2,3.8
2,-1,-9,27.66,1.0457,2,3.8
1,-2,9,27.66,1.0457,2,3.8
1,1,9,27.66,1.0457,2,3.8
1,-2,-9,27.66,1.0457,2,3.8
2,-1,9,27.66,1.0457,2,3.8
2,0,-7,27.76,1.0423,2,8.8
2,-2,7,27.76,1.0423,2,8.8
0,2,7,27.76,1.0423,2,8.8
2,-2,-8,28.9,1.0018,2,12.5
0,2,-8,28.9,1.0018,2,12.5
2,0,8,28.9,1.0018,2,12.5
1,0,13,29.31,0.9882,2,2.4
0,0,15,30.96,0.9368,2,6.6
1,-1,14,31.25,0.9282,2,3
0,1,14,31.25,0.9282,2,3
2,-2,10,31.5,0.9211,2,2.4
0,2,10,31.5,0.9211,2,2.4
2,-3,-1,31.54,0.92,2,3.2
3,-2,-1,31.54,0.92,2,3.2
2,1,1,31.54,0.92,2,3.2
1,-3,1,31.54,0.92,2,3.2
1,2,-1,31.54,0.92,2,3.2
3,-1,1,31.54,0.92,2,3.2
1,2,2,31.74,0.9141,2,2
3,-2,2,31.74,0.9141,2,2
2,-3,2,31.74,0.9141,2,2
3,-1,-2,31.74,0.9141,2,2
2,1,-2,31.74,0.9141,2,2
1,-3,-2,31.74,0.9141,2,2
1,-2,12,32.24,0.9004,2,6.6
1,1,12,32.24,0.9004,2,6.6
2,-1,12,32.24,0.9004,2,6.6
2,-3,-4,32.56,0.8918,2,7.2
1,2,-4,32.56,0.8918,2,7.2
3,-2,-4,32.56,0.8918,2,7.2
2,1,4,32.56,0.8918,2,7.2
1,-3,4,32.56,0.8918,2,7.2
3,-1,4,32.56,0.8918,2,7.2
2,0,11,32.93,0.8821,2,4.3
2,1,-5,33.16,0.876,2,2
3,-1,-5,33.16,0.876,2,2
2,-3,5,33.16,0.876,2,2
1,2,5,33.16,0.876,2,2
3,-2,5,33.16,0.876,2,2
1,-3,-5,33.16,0.876,2,2
1,-3,7,34.72,0.8378,2,2.8
1,2,-7,34.72,0.8378,2,2.8
3,-2,-7,34.72,0.8378,2,2.8
2,-3,-7,34.72,0.8378,2,2.8
3,-1,7,34.72,0.8378,2,2.8
2,1,7,34.72,0.8378,2,2.8
1,0,16,35.22,0.8263,2,3.7
2,-3,8,35.67,0.8163,2,4.2
2,1,-8,35.67,0.8163,2,4.2
3,-2,8,35.67,0.8163,2,4.2
3,-1,-8,35.67,0.8163,2,4.2
1,-3,-8,35.67,0.8163,2,4.2
1,2,8,35.67,0.8163,2,4.2
3,-3,0,35.81,0.8131,2,4.4
0,3,0,35.81,0.8131,2,4.4
3,0,0,35.81,0.8131,2,4.4
2,-2,13,36,0.8089,2,0.8
