H,K,L,2THETA,D-VALUE,MULT,INTENSITY
1,1,1,27.3,3.2662,2,61.1
1,1,-1,27.3,3.2662,2,61.1
1,-1,1,27.3,3.2662,2,61.1
1,-1,-1,27.3,3.2662,2,61.1
0,2,0,31.63,2.8286,2,1000
2,0,0,31.63,2.8286,2,1000
0,0,2,31.63,2.8286,2,1000
2,-2,0,45.34,2.0002,2,329.5
2,0,-2,45.34,2.0002,2,329.5
0,2,-2,45.34,2.0002,2,329.5
2,2,0,45.34,2.0002,2,329.5
2,0,2,45.34,2.0002,2,329.5
0,2,2,45.34,2.0002,2,329.5
3,1,1,53.74,1.7057,2,5
1,1,3,53.74,1.7057,2,5
1,1,-3,53.74,1.7057,2,5
1,3,1,53.74,1.7057,2,5
3,1,-1,53.74,1.7057,2,5
3,-1,1,53.74,1.7057,2,5
1,-3,1,53.74,1.7057,2,5
1,-1,3,53.74,1.7057,2,5
1,3,-1,53.74,1.7057,2,5
3,-1,-1,53.74,1.7057,2,5
1,-3,-1,53.74,1.7057,2,5
1,-1,-3,53.74,1.7057,2,5
2,-2,2,56.33,1.6331,2,159.4
2,2,-2,56.33,1.6331,2,159.4
2,-2,-2,56.33,1.6331,2,159.4
2,2,2,56.33,1.6331,2,159.4
4,0,0,66.06,1.4143,2,93.2
0,4,0,66.06,1.4143,2,93.2
0,0,4,66.06,1.4143,2,93.2
3,3,-1,72.88,1.2979,2,2.5
3,-3,-1,72.88,1.2979,2,2.5
3,-3,1,72.88,1.2979,2,2.5
3,3,1,72.88,1.2979,2,2.5
1,3,-3,72.88,1.2979,2,2.5
1,3,3,72.88,1.2979,2,2.5
3,1,3,72.88,1.2979,2,2.5
3,1,-3,72.88,1.2979,2,2.5
3,-1,3,72.88,1.2979,2,2.5
1,-3,3,72.88,1.2979,2,2.5
3,-1,-3,72.88,1.2979,2,2.5
1,-3,-3,72.88,1.2979,2,2.5
4,2,0,75.09,1.265,2,62.1
2,4,0,75.09,1.265,2,62.1
0,4,2,75.09,1.265,2,62.1
2,0,-4,75.09,1.265,2,62.1
0,2,-4,75.09,1.265,2,62.1
2,0,4,75.09,1.265,2,62.1
4,-2,0,75.09,1.265,2,62.1
2,-4,0,75.09,1.265,2,62.1
4,0,-2,75.09,1.265,2,62.1
0,2,4,75.09,1.265,2,62.1
